form_id,date_start,date_end,location_id,location_name,country_name,emergency_post_emergency,number_of_persons_per_usable_handpump_well_spring,number_of_persons_per_usable_water_tap,average_number_liters_of_potable_water_available_per_person_per_day,percent_water_quality_tests_at_non_chlorinated_water_collection_locations_with_0_cfu_100ml,percent_of_water_quality_tests_at_chlorinated_collection_locations_with_frc_in_the_range_0_2_2mg_l_and_turbidity_5ntu5,percent_households_with_household_toilet_latrine_monthly,number_of_persons_per_toilet_latrine,number_of_persons_per_bath_shelter_shower,number_of_persons_per_hygiene_promoter,refugee_population,reporting_period_monthly_indicator,average_number_l_p_d_of_potable_water_collected_at_household_level,percent_households_with_at_least_10_liters_person_potable_water_storage_capacity,percent_households_collecting_drinking_water_from_protected_treated_sources,percent_of_women_of_reproductive_age_who_are_satisfied_with_menstrual_hygiene_management_materials_and_facilities,percent_households_with_household_toilet_latrine,percent_households_reporting_defecating_in_a_toilet,percent_households_with_access_to_soap,percent_households_with_access_to_solid_waste_disposal_facility,reporting_period_annual_indicator
54420048,29.07.2024,01.09.2024,444,Qushtapa,Iraq,Post-emergency,NA,7,101,100,100,100,6,6,95,8392,19936,NA,NA,NA,NA,NA,NA,NA,NA,NA
54419822,29.07.2024,01.09.2024,518,Dagahaley,Kenya,Post-emergency,NA,133,19,NA,99,53,9,NA,6206,111725,19936,NA,NA,NA,NA,NA,NA,NA,NA,NA
54419823,29.07.2024,01.09.2024,519,Hagadera,Kenya,Post-emergency,NA,176,16,NA,99,60,9,NA,4721,146356,19936,NA,NA,NA,NA,NA,NA,NA,NA,NA
54419825,29.07.2024,01.09.2024,520,Ifo,Kenya,Post-emergency,NA,89,16,NA,99,57,9,NA,5692,102459,19936,NA,NA,NA,NA,NA,NA,NA,NA,NA
54419826,29.07.2024,01.09.2024,5105,Ifo 2,Kenya,Post-emergency,NA,91,19,NA,100,10,22,NA,2455,22099,19936,NA,NA,NA,NA,NA,NA,NA,NA,NA
54419689,29.07.2024,01.09.2024,313,Dzaleka,Malawi,Post-emergency,741,86,13,NA,NA,0,5,7,1045,55425,19936,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418973,29.07.2024,01.09.2024,4889,Centre humanitaire Agadez,Niger,Emergency,NA,NA,19,NA,NA,0,52,105,NA,2958,19936,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418969,29.07.2024,01.09.2024,4370,Chadakori,Niger,Post-emergency,NA,212,4,NA,NA,7,25,49,278,4461,19936,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418971,29.07.2024,01.09.2024,4369,Dandaji Makao,Niger,Post-emergency,NA,302,8,NA,NA,8,19,34,188,3016,19936,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418972,29.07.2024,01.09.2024,4371,Garin Kaka,Niger,Post-emergency,NA,130,15,NA,NA,17,13,33,113,1816,19936,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418778,29.07.2024,01.09.2024,629,Kigeme,Rwanda,Post-emergency,NA,81,17,NA,100,0,34,42,818,14734,19936,NA,NA,NA,NA,NA,NA,NA,NA,NA
54419085,29.07.2024,01.09.2024,627,Kiziba,Rwanda,Post-emergency,NA,43,35,NA,100,0,21,60,319,14699,19936,NA,NA,NA,NA,NA,NA,NA,NA,NA
54419090,29.07.2024,01.09.2024,631,Mahama,Rwanda,Post-emergency,NA,83,21,100,100,0,19,19,620,63942,19936,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418774,29.07.2024,01.09.2024,630,Mugombwa,Rwanda,Post-emergency,NA,76,23,NA,100,0,26,37,NA,11932,19936,NA,NA,NA,NA,NA,NA,NA,NA,NA
54419101,29.07.2024,01.09.2024,628,Nyabiheke,Rwanda,Post-emergency,NA,76,17,NA,97,0,16,40,322,11950,19936,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418435,01.07.2024,28.07.2024,209,Lovua settlement,Angola,Post-emergency,NA,57,16,NA,NA,62,7,17,1047,6283,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418732,01.07.2024,28.07.2024,543,Bambasi,Ethiopia,Post-emergency,NA,141,19,NA,100,41,12,17,1172,21096,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418734,01.07.2024,28.07.2024,525,Sherkole,Ethiopia,Post-emergency,7826,168,13,NA,100,33,12,11,1242,16154,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418735,01.07.2024,28.07.2024,496,Tsore Camp (Assosa),Ethiopia,Post-emergency,NA,199,11,NA,100,31,14,14,2421,43580,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418779,01.07.2024,28.07.2024,445,Arbat,Iraq,Post-emergency,NA,NA,54,100,100,100,5,5,NA,9138,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418780,01.07.2024,28.07.2024,446,Basirma,Iraq,Post-emergency,NA,19,17,100,100,100,5,5,NA,9294,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418791,01.07.2024,28.07.2024,442,Kawergosk,Iraq,Post-emergency,NA,6,122,100,100,100,6,5,974,7795,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418792,01.07.2024,28.07.2024,444,Qushtapa,Iraq,Post-emergency,NA,7,101,100,100,100,6,6,95,8392,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54419818,01.07.2024,28.07.2024,518,Dagahaley,Kenya,Post-emergency,NA,133,18,NA,98,53,9,NA,9310,111725,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54419819,01.07.2024,28.07.2024,519,Hagadera,Kenya,Post-emergency,NA,176,14,NA,99,60,9,NA,12196,146356,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54419820,01.07.2024,28.07.2024,520,Ifo,Kenya,Post-emergency,NA,89,16,NA,96,57,9,NA,8538,102459,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54419821,01.07.2024,28.07.2024,5105,Ifo 2,Kenya,Post-emergency,NA,91,18,NA,NA,10,22,NA,3683,22099,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418074,01.07.2024,28.07.2024,313,Dzaleka,Malawi,Post-emergency,762,86,14,NA,91,84,4,6,942,49948,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418327,01.07.2024,28.07.2024,696,Abala,Niger,Post-emergency,NA,134,13,NA,NA,15,22,66,1571,11000,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418331,01.07.2024,28.07.2024,472,Ayerou,Niger,Post-emergency,NA,250,8,NA,NA,0,120,111,1285,9000,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54417959,01.07.2024,28.07.2024,4889,Centre humanitaire Agadez,Niger,Emergency,NA,NA,20,NA,NA,0,50,101,NA,2837,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54417813,01.07.2024,28.07.2024,4370,Chadakori,Niger,Post-emergency,NA,252,6,NA,NA,8,29,58,330,5282,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54417814,01.07.2024,28.07.2024,4369,Dandaji Makao,Niger,Post-emergency,NA,418,9,NA,NA,8,27,48,261,4180,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54417815,01.07.2024,28.07.2024,4371,Garin Kaka,Niger,Post-emergency,NA,210,12,NA,NA,13,20,54,183,2937,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418329,01.07.2024,28.07.2024,4382,Ouallam,Niger,Post-emergency,NA,98,16,NA,NA,27,15,101,NA,6467,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418078,01.07.2024,28.07.2024,3926,Sayam Forage,Niger,Post-emergency,NA,294,10,NA,100,14,24,149,3463,31174,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418777,01.07.2024,28.07.2024,629,Kigeme,Rwanda,Post-emergency,NA,81,17,NA,100,0,34,42,817,14715,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418726,01.07.2024,28.07.2024,627,Kiziba,Rwanda,Post-emergency,NA,43,41,NA,100,0,21,58,319,14681,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54419089,01.07.2024,28.07.2024,631,Mahama,Rwanda,Post-emergency,NA,83,20,100,100,0,19,19,618,63722,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418770,01.07.2024,28.07.2024,630,Mugombwa,Rwanda,Post-emergency,NA,75,23,NA,100,0,26,37,NA,11915,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418712,01.07.2024,28.07.2024,628,Nyabiheke,Rwanda,Post-emergency,NA,75,17,NA,100,0,16,40,322,11922,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418505,01.07.2024,28.07.2024,4287,Al Jameya,Sudan,Post-emergency,NA,257,12,NA,68,18,24,NA,1805,28882,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418233,01.07.2024,28.07.2024,3884,Al Kashafa,Sudan,Post-emergency,NA,198,8,NA,73,20,23,NA,1272,20357,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418231,01.07.2024,28.07.2024,3921,Al Redis 1,Sudan,Post-emergency,NA,216,13,NA,69,21,19,NA,954,15266,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418232,01.07.2024,28.07.2024,3922,Al Redis 2,Sudan,Post-emergency,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418235,01.07.2024,28.07.2024,3923,Alagaya,Sudan,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54417772,01.07.2024,28.07.2024,4706,Babikir,Sudan,Post-emergency,NA,54,18,NA,NA,28,8,8,1354,2709,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418236,01.07.2024,28.07.2024,3924,Dabat Bosin,Sudan,Post-emergency,NA,386,4,NA,76,5,68,NA,1800,28802,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418234,01.07.2024,28.07.2024,3920,Jouri,Sudan,Post-emergency,NA,229,9,NA,90,11,33,NA,NA,14620,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418229,01.07.2024,28.07.2024,4286,Khor Alwarel,Sudan,Post-emergency,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54417771,01.07.2024,28.07.2024,4720,Tunaydba,Sudan,Post-emergency,NA,51,23,NA,16,14,7,9,515,22677,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54417769,01.07.2024,28.07.2024,567,Um Gargour,Sudan,Post-emergency,NA,180,37,NA,100,1,114,685,7541,15082,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54417770,01.07.2024,28.07.2024,4719,Um Rakuba,Sudan,Post-emergency,NA,51,23,NA,93,11,9,8,606,16993,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418230,01.07.2024,28.07.2024,3925,Um Sangour,Sudan,Post-emergency,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,19905,NA,NA,NA,NA,NA,NA,NA,NA,NA
54417494,03.06.2024,30.06.2024,209,Lovua settlement,Angola,Post-emergency,NA,56,16,NA,NA,62,7,17,1044,6268,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54417496,03.06.2024,30.06.2024,543,Bambasi,Ethiopia,Post-emergency,NA,141,17,NA,100,41,12,17,1169,21043,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54417498,03.06.2024,30.06.2024,525,Sherkole,Ethiopia,Post-emergency,7900,169,11,NA,100,33,12,11,1243,16160,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54417499,03.06.2024,30.06.2024,496,Tsore Camp (Assosa),Ethiopia,Post-emergency,NA,200,17,NA,100,31,14,14,2432,43789,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54417583,03.06.2024,30.06.2024,445,Arbat,Iraq,Post-emergency,NA,NA,58,100,100,100,5,5,NA,9138,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54417579,03.06.2024,30.06.2024,446,Basirma,Iraq,Post-emergency,NA,19,19,100,100,100,5,5,NA,9294,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54417581,03.06.2024,30.06.2024,442,Kawergosk,Iraq,Post-emergency,NA,6,127,100,100,100,6,5,974,7795,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54417582,03.06.2024,30.06.2024,444,Qushtapa,Iraq,Post-emergency,NA,7,104,100,100,100,6,6,95,8392,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54417232,03.06.2024,30.06.2024,518,Dagahaley,Kenya,Post-emergency,NA,133,18,NA,97,53,9,NA,9310,111725,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54417233,03.06.2024,30.06.2024,519,Hagadera,Kenya,Post-emergency,NA,176,14,NA,92,60,9,NA,12196,146356,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54417234,03.06.2024,30.06.2024,520,Ifo,Kenya,Post-emergency,NA,89,13,NA,99,57,9,NA,8538,102459,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54417235,03.06.2024,30.06.2024,5105,Ifo 2,Kenya,Post-emergency,NA,91,19,NA,NA,10,22,NA,3683,22099,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54417391,03.06.2024,30.06.2024,313,Dzaleka,Malawi,Post-emergency,762,124,16,97,100,84,4,6,933,49473,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418326,03.06.2024,30.06.2024,696,Abala,Niger,Post-emergency,NA,153,14,NA,NA,16,22,70,1664,11650,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418330,03.06.2024,30.06.2024,472,Ayerou,Niger,Post-emergency,NA,250,8,NA,NA,0,120,111,1285,9000,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54416951,03.06.2024,30.06.2024,4889,Centre humanitaire Agadez,Niger,Emergency,NA,NA,22,NA,NA,0,45,90,NA,2791,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54416952,03.06.2024,30.06.2024,4370,Chadakori,Niger,Post-emergency,NA,252,7,NA,NA,8,29,58,330,5282,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54416953,03.06.2024,30.06.2024,4369,Dandaji Makao,Niger,Post-emergency,NA,418,9,NA,NA,8,27,48,261,4180,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54416954,03.06.2024,30.06.2024,4371,Garin Kaka,Niger,Post-emergency,NA,210,13,NA,NA,13,20,54,183,2937,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418328,03.06.2024,30.06.2024,4382,Ouallam,Niger,Post-emergency,NA,98,12,NA,NA,27,15,101,NA,6467,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418079,03.06.2024,30.06.2024,3926,Sayam Forage,Niger,Post-emergency,NA,294,10,NA,NA,14,23,149,3463,31174,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54416930,03.06.2024,30.06.2024,629,Kigeme,Rwanda,Post-emergency,NA,81,17,NA,100,0,34,42,816,14695,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418725,03.06.2024,30.06.2024,627,Kiziba,Rwanda,Post-emergency,NA,42,44,NA,100,0,21,57,312,14372,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54419088,03.06.2024,30.06.2024,631,Mahama,Rwanda,Post-emergency,NA,82,20,100,100,0,19,19,617,63613,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54416929,03.06.2024,30.06.2024,630,Mugombwa,Rwanda,Post-emergency,NA,75,23,NA,100,0,26,37,NA,11895,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418711,03.06.2024,30.06.2024,628,Nyabiheke,Rwanda,Post-emergency,NA,75,17,NA,100,0,16,40,320,11866,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418504,03.06.2024,30.06.2024,4287,Al Jameya,Sudan,Post-emergency,NA,257,12,NA,67,18,24,NA,1805,28882,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418547,03.06.2024,30.06.2024,3884,Al Kashafa,Sudan,Post-emergency,NA,198,8,NA,68,20,23,NA,NA,20357,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418553,03.06.2024,30.06.2024,3921,Al Redis 1,Sudan,Post-emergency,NA,216,14,NA,68,21,19,NA,954,15266,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418533,03.06.2024,30.06.2024,3922,Al Redis 2,Sudan,Post-emergency,NA,228,7,NA,76,7,48,NA,2503,40048,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418497,03.06.2024,30.06.2024,3923,Alagaya,Sudan,Post-emergency,NA,310,7,NA,0,3,112,NA,3864,61827,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54416883,03.06.2024,30.06.2024,4706,Babikir,Sudan,Post-emergency,NA,50,24,NA,NA,28,8,8,1349,2698,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418486,03.06.2024,30.06.2024,3924,Dabat Bosin,Sudan,Post-emergency,NA,425,4,NA,69,5,71,NA,NA,28802,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418541,03.06.2024,30.06.2024,3920,Jouri,Sudan,Post-emergency,NA,229,10,NA,83,11,33,NA,NA,14620,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418511,03.06.2024,30.06.2024,4286,Khor Alwarel,Sudan,Post-emergency,NA,289,8,NA,67,0,197,NA,3447,55164,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54416815,03.06.2024,30.06.2024,4333,Sirajiya,Sudan,Post-emergency,NA,NA,0,NA,NA,0,NA,NA,NA,6000,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54416881,03.06.2024,30.06.2024,4720,Tunaydba,Sudan,Post-emergency,NA,45,31,NA,63,14,7,9,513,22610,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54416880,03.06.2024,30.06.2024,567,Um Gargour,Sudan,Post-emergency,NA,176,38,NA,100,23,16,671,1231,14778,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54416879,03.06.2024,30.06.2024,4719,Um Rakuba,Sudan,Post-emergency,NA,50,23,NA,100,11,9,8,331,16902,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418526,03.06.2024,30.06.2024,3925,Um Sangour,Sudan,Post-emergency,NA,NA,5,NA,66,6,70,NA,4254,68078,19875,NA,NA,NA,NA,NA,NA,NA,NA,NA
54417246,29.04.2024,02.06.2024,209,Lovua settlement,Angola,Post-emergency,NA,56,17,NA,NA,62,7,17,1037,6222,19844,NA,NA,NA,NA,NA,NA,NA,NA,NA
54416279,29.04.2024,02.06.2024,543,Bambasi,Ethiopia,Post-emergency,NA,141,21,NA,100,29,17,17,1168,21025,19844,NA,NA,NA,NA,NA,NA,NA,NA,NA
54416281,29.04.2024,02.06.2024,525,Sherkole,Ethiopia,Post-emergency,7820,168,9,NA,100,33,12,11,1241,16134,19844,NA,NA,NA,NA,NA,NA,NA,NA,NA
54416282,29.04.2024,02.06.2024,496,Tsore Camp (Assosa),Ethiopia,Post-emergency,NA,200,11,NA,100,31,14,14,2432,43776,19844,NA,NA,NA,NA,NA,NA,NA,NA,NA
54416843,29.04.2024,02.06.2024,445,Arbat,Iraq,Post-emergency,NA,NA,58,100,100,100,5,5,NA,9138,19844,NA,NA,NA,NA,NA,NA,NA,NA,NA
54415682,29.04.2024,02.06.2024,446,Basirma,Iraq,Post-emergency,NA,19,19,100,100,100,5,5,NA,9294,19844,NA,NA,NA,NA,NA,NA,NA,NA,NA
54415684,29.04.2024,02.06.2024,442,Kawergosk,Iraq,Post-emergency,NA,6,127,100,100,100,6,5,974,7795,19844,NA,NA,NA,NA,NA,NA,NA,NA,NA
54415685,29.04.2024,02.06.2024,444,Qushtapa,Iraq,Post-emergency,NA,7,104,100,100,100,6,6,95,8392,19844,NA,NA,NA,NA,NA,NA,NA,NA,NA
54417227,29.04.2024,02.06.2024,518,Dagahaley,Kenya,Post-emergency,NA,133,18,NA,99,53,9,NA,9310,111725,19844,NA,NA,NA,NA,NA,NA,NA,NA,NA
54417228,29.04.2024,02.06.2024,519,Hagadera,Kenya,Post-emergency,NA,176,13,NA,92,60,9,NA,12196,146356,19844,NA,NA,NA,NA,NA,NA,NA,NA,NA
54417230,29.04.2024,02.06.2024,520,Ifo,Kenya,Post-emergency,NA,89,14,NA,99,57,9,NA,8538,102459,19844,NA,NA,NA,NA,NA,NA,NA,NA,NA
54417231,29.04.2024,02.06.2024,5105,Ifo 2,Kenya,Post-emergency,NA,91,18,NA,NA,10,22,NA,3683,22099,19844,NA,NA,NA,NA,NA,NA,NA,NA,NA
54415845,29.04.2024,02.06.2024,313,Dzaleka,Malawi,Post-emergency,762,124,16,97,100,84,4,6,927,49140,19844,NA,NA,NA,NA,NA,NA,NA,NA,NA
54415991,29.04.2024,02.06.2024,696,Abala,Niger,Post-emergency,NA,153,13,NA,NA,17,21,45,1664,11650,19844,NA,NA,NA,NA,NA,NA,NA,NA,NA
54415993,29.04.2024,02.06.2024,472,Ayerou,Niger,Post-emergency,NA,250,3,NA,NA,0,120,111,1285,9000,19844,NA,NA,NA,NA,NA,NA,NA,NA,NA
54416571,29.04.2024,02.06.2024,4889,Centre humanitaire Agadez,Niger,Emergency,NA,NA,23,NA,NA,0,46,90,NA,2725,19844,NA,NA,NA,NA,NA,NA,NA,NA,NA
54416572,29.04.2024,02.06.2024,4370,Chadakori,Niger,Post-emergency,NA,252,4,NA,NA,8,29,58,330,5282,19844,NA,NA,NA,NA,NA,NA,NA,NA,NA
54416573,29.04.2024,02.06.2024,4369,Dandaji Makao,Niger,Post-emergency,NA,418,4,NA,NA,8,27,48,261,4180,19844,NA,NA,NA,NA,NA,NA,NA,NA,NA
54416574,29.04.2024,02.06.2024,4371,Garin Kaka,Niger,Post-emergency,NA,210,13,NA,NA,13,20,54,183,2937,19844,NA,NA,NA,NA,NA,NA,NA,NA,NA
54415992,29.04.2024,02.06.2024,4382,Ouallam,Niger,Post-emergency,NA,98,14,NA,NA,28,15,101,NA,6467,19844,NA,NA,NA,NA,NA,NA,NA,NA,NA
54416334,29.04.2024,02.06.2024,629,Kigeme,Rwanda,Post-emergency,NA,81,16,NA,100,0,34,42,815,14681,19844,NA,NA,NA,NA,NA,NA,NA,NA,NA
54418722,29.04.2024,02.06.2024,627,Kiziba,Rwanda,Post-emergency,NA,62,34,NA,100,0,21,59,323,14893,19844,NA,NA,NA,NA,NA,NA,NA,NA,NA
